,0
38,آپ کی آنٹی کے گھر پہنچا دیں گے چلے اب ہمیں کمرے دکھائیں ہوم لون میں گیا اور مکمل توجہ دلانا اور کمرے کی کھڑکیوں کا جائزہ لیتا رہا
39,پتی دوسری اٹھا کر جانا چاہتی تھی جاؤ کوئی بات نہ کرنا جس پارٹی کے اندر چاہ رہا ہے اسے سونے دی گئی ہے اس کی موجودگی میں
40,کپتان کی ضرورت نہیں ہے نہیں میرا دل نہیں مان رہا ہے پتہ نہیں کون سا پرس کونسی چیز ہے جو بھی ہو دونوں ہی میرے ہی میرے ہیں
41,اگر اسے دیکھا وہ میرا دل تھا میرا اپنا خون تھا
42,بسنتی کے پاس جا رہی تھی اس میں علی تیمور تا کے پاس
43,کا کھا گئی ٹوٹ گئی تھی اس نے فوراً ہی گیس ماسک اور اس کے چہرے سے ہٹا کر اپنے دونوں ہاتھوں میں اٹھا لیا تھا اگر آپ کے اندر کیا دیکھ کر
44,تو تیاری کرنی پڑے گی بڑے مار کر رونا شروع کردے گی پھر نتیجہ ہے اس طیارے میں زرداری کے آدمیوں کی حفاظت کے لیے موجود ہیں
45,سونیا کی ذہانت میری اور زندگی کی ٹیلی پیتھی نے بڑے کمالات دکھائے تھے بڑی کامیابی سے امن و امان اور بھارت کی سرحد سے لے کر آئے تھے اس ہی وقت گیم
46,پڑھاتی ہے ہی مذاق اڑاتی ہے اور میرا نام
47,پھر یک لخت گائے کی تیاری کے ایک حصے سے زندگی کی فلک شگاف چیخ سنائی دی تھی میں ہیں بچہ
48,انٹرنیٹ کے اندر پہنچ گئی اٹیچی کو کھول کر دیکھا تو اس کا دل تھک گیا اور اس کے منہ پر طمانچہ موجود تھا کہ اس پر بھی تھا لیکن اپنی جگہ سے ہٹ گئی تھی
49,من زندگی میں پہلی بار سونیا کو اس قدر پریشان دیکھا تھا وہ اور اس کے ساتھ اپنی جان بھی جاتی ہوئی محسوس کر رہی تھی اور محسوس کیوں نہ کر دیں
50,اسے اپنا بچہ اپنے جگر کا ٹکڑا سمجھتی تھی جتنی محبت کرتی تھی میرے بیٹے سے کرتی تھیں پھر وہ پریشان کیوں نہ ہوتی کبھی وہ اس کے منہ سے
51,اٹیچی کیس میں دو بچے سمگل کر رہی ہے یہ دنیا بھلا کی حاضر دماغی اور تھی وہ بلائے بغیر پوری طرح حواس مل کر بھی ان سے پہنچانے کی بھرپور کوشش کروں گا
52,نہیں تھی آخر وہ کامیاب ہوگئی تو مرضی کے سانس لینے لگا وہ خوشی سے کھل گئی اب اسے فیصلہ کرنا تھا کہ کیا کرے
53,وہ آج بھی ہماری عورتیں وہ مسرت بھری تھی جو کہ پرسکون تھی زندگی ملی تھی لیکن زندگی کے دن میں پہلے سے گھر کر رہے تھے
54,اس لئے سنیا کی چیخ ایک ماں کا لگی ہے ذرا سا گیا تمام مسافر اپنی سیٹ سے اٹھ کر باہر کی طرف دیکھنے لگے اور اس کے بغیر ہو
55,رائٹ کی موت کی وجہ تھے اپریل کا مہینہ تھا جب ایک سوشل خوف نے مجھے جگایا وہ دیر سے اٹھنے کا عادی تھا مگر اس وقت صرف
56,ہے بالکل ٹھیک کہہ رہے ہیں یہ ایک بہانہ ہے کہ مجھے دوسرے کمرے میں سونے پر مجبور کیا جائے ہاں تو یہ بات ہے
57,کیپٹن فور آگے بڑھ کر پوچھا یہ بچہ کہاں سے آیا تو نے بچے کو تھپکتے ہوئے کہا اللہ کی دین ہے یہ کس نے پوچھا
58,جو پہلے یہاں نہیں تھا جو پہلے دنیا میں نہیں ہوتا وہ پیدا ہوتا ہے یہ بچہ بھی ابھی اس دنیا میں آیا ہے میں ایک سرے سے دوسرے سرے تک صبح بخیر زندگی
59,ہمیشہ کر دیا تھا گویا ایک بچہ پیدا ہونے کی خبر سنائی دوسری نہ کرنے سے دودھ پلایا پھر ماسٹر سٹی پر مسافروں سے درخواست کر رہے تھے وہ اپنی سیٹ پر بیٹھ
60,جائیں ابھی معاملہ سمجھ میں آجائے گا یارو کے مسافر سڑک چھاپ نہیں تھے تھے اس لیے اپنی اپنی جگہ پر بیٹھنے لگے لیکن ادھر بلٹی
61,یہاں سے دوسری طرف برآمدہ ہے جہاں تینوں کمروں کے دروازے کھلتے ہی ہوں گے کہا ہے مگر بہت ہی چھوٹے کوئی آدمی وہاں سے
62,خطاب جعفر ہو رہا تھا وہ نہیں چاہتی تھی دوسرے بچے کے گرنے کی وجہ سے ہوسکتی تھی جب ایک بچے کے سلسلے میں انکشاف ہو گیا
63,کیا تھا وہ دوسرے کو جی میں کیوں رکھا جاتا اور اس کے لئے تشویش میں مبتلا جاتا لہذا اس نے بچے کو نکال لیا تھا اور عورت
64,تینوں سونیا کے پاس آئے ایک نے کہا اب ہم ساری باتیں سمجھ گئے ہیں کہ آپ مدرسے میں ہی سنیاسیوں ٹاؤن کی طرف اشارہ کرتے ہوئے کہا
65,محاصرہ کے ساتھ ہیں ذرا فاصلے پر بیٹھی ہوئی ایک مسافر خاتون نے حیرانی سے کہا ماں ایک جنس یہ وہی بچے ہیں جنہیں روکنے کے لیے دوسری
66,دشمن سے حفاظت کرتے ہیں لیکن یہ غیر قانونی حرکت ہے کارکن نے پرواز کے دوران یہ بچے آپ دونوں کے پاس جائیں گی لیکن کو پہنچ گئی
67,میں نے اپنی تحویل میں لے لیں گے سنی نے بڑے اطمینان سے فرضی پاسپورٹ کرتے ہوئے کہا کہ ابھی دلی دور ہے یہی کہا وطن کو کس سلسلے میں بھی ثابت ہے
68,اسے چپ رہنے کے بعد جواب دو گی یہ کہتے ہیں وہ کاغذ کو لے کر اسٹیٹ بینک کی طرف جانے لگی اسی وقت اس میں تیزی سے باہر آئیں اس نے فرض کرو تو سن لیا
69,اس لیے بے چین ہو کر باہر نکل آئی تھی اس لئے وہ مسکرائی تھی آپ ہمارے ساتھ رہیں گی یہاں سے نہیں جا سکتی تھی اس کی باتوں کو
70,نے بنے گا اس کی بات پر کتنی ہیں مسافر کی طرح لگانے لگے اور آفیسر میس یو ڈون کی طرف بڑھتے ہوئے پوچھا یہ دوسری عورت کون ہے جو بچے کو لگی ہے
71,ایک شخص نے کہا وہ مرد عورتیں ہی مسافر چلتے چلتے ہم سے جدا کیا اس نے پلٹ کر اس کو بھی یقینی سے دیکھا کہ سامنے کی طرف انگلی
72,تین آپ نے میرا نام سنا ہوگا خشکی کے راستے پر بندرگاہوں اور ہوائی اڈوں پر پولیس انٹیلی جنس اور قسم کے لوگ ہوتے ہیں وہ آمین
73,یا کا نام جانتے ہیں اس آفیسرز کا نام سنتے ہی آگے بڑھ کر اٹھیں کو دیکھا جس میں سے ابھی سونے علی تیمور کو نکالا تھا اس نے گھر نہ ملے گا
74,مسز میں اور تم سے تعاون کروں گا کیا تم مجھے مغلوں کا ساقی سمجھتی ہوں کہ قاتلوں اور سازش کرنے والوں سے چھپ نہ بنا لینا
75,معصوم بچوں کو پناہ دینا جرم ہے میں تم سے بحث کرنا نہیں چاہتا میرے پیارے میں بچے غیر قانونی طور پر لائے ہیں لہذا میں بینک کو پہنچتے ہیں
76,ان میں لیا ہے جن کو پہنچ کر آپ کے فرشتے بچوں کو قانون کے حوالے نہیں کر سکیں گے وہ اس کی طرف سے پڑھی گئی اور اس پر چلتے ہوئے طیارے کے آسرے پر گی
77,جہاں تباہ کیا تھا اس کے دوسری طرف پلٹ کے دن تھا اس نے دروازے کے پاس کھڑے ہو کر اس کو دونوں ہاتھوں میں بلند کرتے ہوئے کہا میری بہنو اور بھائیو
78,اس کے کمرے کو دیکھنے سے انکار کر دیا اور درمیان کے کمرے میں گیا جہاں مسائل اور آجکل سو رہی تھی اور جہاں اس کی بہن کی موت واقع ہوئی تھی
79,پشتو کے جال بچھائے جاتے ہیں اور جب قانون بے بس ہو جاتا ہے جو اپنی ذات میں قانون ہے اعضاء کا استعمال کرتا ہے جیسا ہم نے ابھی قانون
80,کمال کیا جیسے کہ ہم نے دیکھا قانون کے محافظ ختم نبوت تنظیم اور بڑے بڑے ملکوں کے زیر اثر ان دو معصوم بچوں کی حفاظت نہیں کر سکتے
81,کیا ہم نے غلط کیا میں سب سے پہلے اپنی بہنوں سے پوچھتی ہوں جو اپنے بچوں سے بہت پیار کرتی ہیں جن کے ننھے معصوم بھائی اور بہنیں ہیں
82,کیا ہم نے کوئی جرم کیا ہے اس کی باتیں سن کر مسافر آپس میں سرگوشیاں کرنے لگے وہ لوگ سروں پر کچھ کہنے کے لیے آگے بڑھے تھے لیکن فرق ہے
83,کمرے میں سامان موجود تھا سامان پرانا تھا چاروں طرف نظر دوڑائی رہا تھا اوپر نیچے دیکھ رہا تھا یہ رسی کہاں جارہی ہے
84,اتارا ہے یہ دشمنوں کے لیے ایک چیلنج ہے لیکن اس کی ماں ہے تمہارے سامنے گھٹنے ٹیک کراچی سے التجا کرتی ہے اس نے فوج پر گھٹنے دیکھتی ہے
85,اور اس کی طرح ہاتھ میں کل رکھا اور پھر کہا ہے دنیا کو جنم دینے والی ماؤں بہنوں اور بیٹیوں بھائیوں اور بزرگوں سے بچو
86,اور انسانیت کا تقاضا پورا کرتے ہوئے ان کی بھرپور حفاظت کریں ایک بوڑھی خاتون نے اپنی جگہ سے اٹھ کر کہا ہم ان کی ضروری وضاحت کریں گے
87,نوجوان اور کہاں یہ معصوم بچے ہیں اس مقام پر نہیں ہے ایک شخص نے اٹھ کر کہا ایک ماں اپنے بچے کو لے جا رہی ہے اور ان کے بچوں کا ہوا نہیں کر رہے
88,یہ اپنی اپنی جگہ پر چاہیے جب بیٹھنے لگے اس نے کہا کہ آپ چاہتے ہیں کہ میں اپنی ڈیوٹی کے دوران میں ایسا کوئی کام کرو میری آئی نیو سونگ
89,تو آپ کے خلاف ہو ایک نئے فرقہ ہم کچھ نہیں جانتے کہ ان بچوں کی حفاظت کرنا چاہتے ہیں پروفیسر نے کہا ہاں یہی بات سمجھانا
90,میں نے قانون کے حوالے کردوں گا تاکہ دشمن اور سازش کرنے والے کے خلاف کوئی قدم نہ اٹھا سکے تو نے کہا تم ہم سے زیادہ ان کے دشمنوں اور سازش ہیں
91,کرنے والوں کو نہیں جانتے اس بندے نے چیخ کر کہا نہیں یہ افسر جانتا ہے اس نے کھٹمنڈو کے ایئر پورٹ پر اپنی آنکھوں سے دیکھا ہے کہ قانون کس
92,چاہتا ہوں میرا کام اس طیارے کو باحفاظت ایک وقت تک پہنچانا ہے اور مسافروں کو بھی بغیر ان کی منزل تک پہنچا کر اپنے فرائض سے سبکدوش ہونا ہے
93,اردو میں دو بچے بھی شامل ہیں منزل پر پہنچنے کے بعد کون دشمنوں کے ہتھے چڑھ جاتا ہے کون دوستوں کے گلے لگتا ہے یہ ہم نہیں جانتے یہ ہماری ڈیوٹی نہیں
94,فوجی جوانوں اور سفیروں سے نکال کر یہاں تک کہ لا سکتے ہیں اسے اپنی منزل تک بھی پہنچا سکتے ہیں تم دیکھو گے کہ اس طیارے کے بینک
95,پہنچنے سے پہلے کیا قیامت آتی ہے دنیا چنج کرنی تھی اس کے پاس نہیں تھا یہ ساری باتیں مجھے بعد میں معلوم ہوئی
96,میں نے حیرانی سے پوچھا تم مجھے خوش آمدید کہہ رہے ہو
97,جبکہ میں غیرقانونی طریقے سے اپنے دو بچوں کو یہاں لے آئی ہوں مگر سب سے پہلے یہ وضاحت کرتا ہوں کہ میں انٹرپول کے چیف آفیسر حضرت علی کا
98,میں اس سارے کام اچھی طرح سمجھ گیا ہوں اور کون کے لئے کرتا رہتا ہوں کیا تمہیں معلوم تھا کہ لوگ بدل کر طیارے میں سفر کرنے والی ہوں یہ بھی کوئی پوچھنے کی بات ہے
99,مس عزت علی نے پہلے ہی سب کچھ بتا دیا تھا اور یہ تاکید کی تھی کہ حالات موافق ہو اور آپ کے خلاف جاتے ہو تو مجھے آپ کی اور بعد میں سونیا کے
100,نے زمین پر رینگتے ہوئے فرش کو دیکھنا شروع کیا دوسری چیزوں کا جائزہ لیا آخر میں بستر کے قریب کیا اور اسے غور سے دیکھتا رہا
101,چاہتی ہوں وہاں پہنچے گی لیجانگی کیا اس طیارے کا رخ کسی دوسری طرف موڑ سکتے ہو بے شک موڑ سکتا ہوں لیکن کسی نہ کسی ملک کی رپورٹ
102,اوپر کا ایندھن کی کمی پوری کرنا ہوگی کوئی حرج نہیں ہے جب کسی بھی ملک کی رپورٹ کو دے گا تو میں کسی کو دروازہ کھولنے نہیں دوں گی تمہارے ساتھ
103,قبضہ رہے گا ادھر کا دروازہ نہیں کھولے گا بھارتی طیارے کے دوسرے دروازے کو بند رکھنا آپ کا کام ہو گا تم انجینئر سے بات کروں میں اس کے دماغ میں
104,مسٹر عثمان پلیز انجینئر کو مخاطب کرتے ہوئے کہا نا مانو تو تیاری میں کیا ہو رہا ہے ہماری میں دنیا کی بڑی بڑی شخصیتیں سفر کر رہی ہیں
105,دیوار کے اوپر نیچے نظر ڈالیں بالآخر لٹکی ہوئی رسی کو پکڑا اور جھٹکے دیے کوئی گل نہیں بجے یہ تو جعلی ہے وقت
106,اٹھ گئی میں نے سنیل سے کہا یہ ملک کے باہر آیا کہ ان کے دل میں داخل ہو گا اس کے بعد قطروں کے اندر سے بند ہے
107,پائلٹ اور ان دونوں ہی ہمارے آدمی ہیں ادھر سے بے فکری کے باقی حصے کو اپنے کنٹرول میں رکھنا ہمارا کام ہے میں اسے مختصر طور پر
108,مائی زندگی یہ تاثر دینا کہ میں نے ٹیلی پیتھی کے ذریعے تمہیں اور پائلٹ کیا ہوا ہے تم لوگ اپنی مرضی سے حرکت کرنا چاہے تو تمہاری جانوں کو خطرہ ہے اس
109,یار تباہ ہو جائے گا ڈی جی میں اچھی طرح سمجھ گیا آپ جو کہہ رہی ہیں ہم سب اس پر عمل کریں گے میں پہنچا اس نے پوچھا
110,کرسکتے بلاول سیالکوٹ کے کسی بندے پر اترنا چاہتے ہو قریب ایئرپورٹ کونسا ہے رنگوں نے رپورٹ ہے خدایا
111,برما کی حکومت تو میرا اور فرات کا نام سن کر خیبر آج آتی ہے پچھلے دنوں ہماری وجہ سے وہاں اتنی ہنگامی ہوئے کہ شاید یہ طیارے کو اترنے کا موقع دے
112,ملیشیا تمام مسافر کو دیکھ کر سہم گئے تھے اور گھنی ہو رہی تھی ایک عورت بے اختیار چیخ پڑی تھی اور باہر والے نے کہا میں مسافروں کے دشمن ہیں
113,لائیو تیار ہوا کرنے والا ہوں میں ایک ہندوستانی ہوں میرا تعلق پہنچے ہے میرے دیش کی زمین سے دو بچے اغوا کیے جا رہے ہیں
114,یہ دنیا سے کوچ کر لیا اس کے دماغ کو آزاد چھوڑ دیا وہ تم سے بڑا کیا خالی ہاتھ دیکھنے لگا تو نے کہا
115,ادھر نہیں ادھر دیکھو دنیا کے ہاتھ میں تلوار دیکھ کر اس کا چہرہ سرخ ہو گیا میں نے کہا تم بڑی دیر بعد بنتے ہو یہ تمہاری
116,قسم تیری پیار کی صلاحیتیں واپس آگئی ہیں لیکن کبھی قسمتی اور کبھی سونے کو دیکھ رہا تھا اس نے کہا تھا بچے بچوں کی طرح مصیبت پر بیٹھ
117,جاب اور آرام سے سفر کرتے رہو اور اُس نے آگے بڑھتے ہوئے کہا میرا نام لیا دروازے کے پاس سے ہٹ جاؤ میں پائلٹ کے بارے میں جاننا چاہیے
118,ہاں یہ جہاز پکارا جائے گا تاکہ پوری طرح اندر حاصل کیا جا سکے وہاں سے معاملات طے ہونے کے بعد ان کے مطابق اعلان کیا جائے گا
119,حافظ نگاہ بعد میں تعاون کو وسعت دے کر کہتا ہوں اور مجھے دے دو ورنہ یہی سمجھا جائے گا کہ طیارے کو اغوا کرنے کی کوشش کی جا رہی ہے
120,دو معصوم جانوں کی حفاظت کرنے کے لئے گڑھا کرکے جائیں کی میں نے تم سب کے آگے گھٹنے ٹیک دیے میں مانتی ہوں ہمسفر خواتین اور مردوں نے میرا بہت ہے
121,17 یا میری حمایت کی لیکن یہاں قانون کی باتیں کرنے والوں کا پلڑا بھاری ہے اپنی من مانی کریں گے اور اس کو بینک لے جانا چاہیں گے
122,سن رہا ہے اور پھر یہ رسی ہو اک آسرا غم کے لیے نہیں رسی پر گھنٹی نہیں خیر ڈاکٹر رات کے کمرے میں چلتے ہیں دوسری چیزیں
123,کیا معزز خواتین و حضرات ماسٹر خان آپ سے مخاطب ہوں دوسرے لفظوں میں یوں کہنا چاہیے کہ میری زبان سے شریمتی روتی دیوی بول رہی ہیں
124,میں اور آپ کے طیارے کا پائلٹ ان کی تخلیقی کی گرفت میں ہے اگر ہم اپنی مرضی سے ذرا بھی حرکت کریں گے کہ یہ طیارہ تباہ ہو جائے گا
125,آنسو تیرے ہیں یہ میرا وعدہ ہے کہ میں آپ کو اور تمام مسافروں کو خیریت ان کی منزل تک پہنچا ہو گئی ہے دو بچوں کی سلامتی کا سوال ہے
126,ٹویوٹا گہرا تھا معزز خواتین و حضرات ہم اس وقت برما کے شہر رنگون کی فضاؤں میں پرواز کر رہے ہیں چند منٹ بعد ہمارا عقیدہ یہ اترنے والا
127,کے علاوہ وہاں لوہے کی تجوری بھی موجود تھی اور اس نے ہر چیز کا معائنہ کیا پھر تجوری کے قریب جا کر کہا اس میں کیا ہے
128,رہتے ہیں حالات پر قابو پانا ہماری چیونٹی ہے ہم کسی نہ کسی طرح اپنی ڈیوٹی کی تکمیل ضرور کریں گے اللہ آپ سے درخواست ہے کہ آپ اپنی
129,کا سیفٹی بیلٹ باندھ لیں گے کسی وقت بھی اترنے والا ہے اک
130,اس طرح آئندہ سے نہ ہوتا جس وقت تیاری میں انتہائی ہو رہا تھا اسی وقت والٹن کنٹونمنٹ اور والوں سے رابطہ قائم کرتے ہوئے کہا
131,ابھی تک بیان کرتا ہوں تیری صوتی بیوی نے ٹیلی پیتھی کے ذریعے ٹریک کیا ہوا ہے اس وقت میں اپنے دو بچوں کے ساتھ موجود ہیں جو کچھ ہے
132,سنو مصطفیٰ علی کی موویز جو ہنگامی ہوئے ورنہ اقبال فراموشی ہمارے یہاں بڑی تعداد میں پھیلتی رہی لہذا ہم معذرت چاہتے ہیں
133,ہم شریمتی رسول کی دیوی کی خدمت کے لیے تیار ہے لیکن یہاں نہ دینے کا مطلب یہ ہوگا کہ مختلف تنظیمیں ہمارا اپنا اڈہ بنائی گئی
134,سونیا نے کہا میں پہلے ہی جانتی تھی یہاں تک کہ ہم اپنی زمین پر قدم رکھنے کی اجازت نہیں دیں گے چلو اچھا ہے یہاں سے دوسری جگہ
135,پچھلی اصول دین سوچ کے ذریعہ پوچھا لیکن کہاں سے نہیں اتنی بڑی دنیا میں ایسا کونسا ملک ہے جو ہم اپنا دیکھ کر بڑے ممالک
136,وہ کہہ رہا تھا معزز خواتین و حضرات تیاری کی آخری دو سیٹوں پر شدید حیرت ہوئی تھی اور مثانہ میں لیا ایک بچے کے لیے بیٹھی ہوئی ہیں
137,آپ دیکھ سکتے ہیں شریمتی بیوی اس وقت بالکل خاموش اور عالم ہیں اس کا مطلب یہ ہے کہ وہ اس وقت میں پہنچی ہوئی ہیں اور
138,اور انہیں پناہ دینے سے انکار کرتے ہوئے بھی ڈرتا ہے دنیا کے تمام ممالک ان دونوں سے دوستی کرنا چاہتے ہیں مگر دوستی نبھانا نہیں چاہتے موجودہ حالات
139,شریمتی زندگی بھی اپنے دو بچوں کے ساتھ جہاں جائیگی وہ ان کے خلاف دشمنوں کی بھیڑ لگ جائےگی لہٰذا وہ ایسی جگہ جانا چاہتی ہیں جہاں دشمن نہ پہنچ سکی
140,کے یوں لگ رہا تھا جیسے سب نے سانس روک لی ہو کسی نئی جگہ کا نام سن رہے ہو اور سمجھ رہے ہو کہ یہ باتیں قاف کہاں ہے اور یہ تیار کیا واقعی سیکسی
141,کا پوچھنے والا ہے پھر اسپیکر سے آواز سنی تھی بعد یہ کافر ملک ترکی کے شمال میں واقع ہے یہ ایک آزاد قبائلی علاقہ ہے یہاں صدیوں سے
142,بچوں کو فخریہ پہنچانے کے بعد یہ طیبہ آپ لوگوں کو آپ کی منزل تک لے جائے گا اور اس میں تھوڑی دیر کے لئے تجربہ کے پاس جگہ
